iter	MultiClass
0	1.9448401
1	1.943952141
2	1.943297009
3	1.942663694
4	1.942155517
5	1.941666898
6	1.941285182
7	1.940898114
8	1.94057288
9	1.940270174
10	1.940019474
11	1.939771722
12	1.939534354
13	1.939309217
14	1.939108495
15	1.938901094
16	1.938725744
17	1.938565552
18	1.938360004
19	1.93819931
20	1.938036988
21	1.937881072
22	1.937709594
23	1.937582621
24	1.937407021
25	1.937253902
26	1.937094079
27	1.936966706
28	1.93681395
29	1.93667273
30	1.936554468
31	1.93638284
32	1.936244035
33	1.936118766
34	1.935988082
35	1.935843775
36	1.935701908
37	1.935539336
38	1.935405438
39	1.935264133
40	1.935120707
41	1.934997913
42	1.93489303
43	1.934753093
44	1.93465081
45	1.934531108
46	1.934406396
47	1.934255129
48	1.93415127
49	1.934058091
50	1.933955688
51	1.933831477
52	1.93370518
53	1.933595027
54	1.933497799
55	1.933374256
56	1.933283725
57	1.933157227
58	1.933041206
59	1.932938563
60	1.932855286
61	1.932740923
62	1.932643697
63	1.932523452
64	1.932432984
65	1.932330353
66	1.93222574
67	1.932100218
68	1.932004436
69	1.931912676
70	1.931819554
71	1.931746075
72	1.931658789
73	1.931568097
74	1.931486838
75	1.931394428
76	1.93129224
77	1.931220557
78	1.931122717
79	1.931007195
80	1.930934603
81	1.93084309
82	1.930746668
83	1.930667179
84	1.930550285
85	1.930468936
86	1.930394058
87	1.930311242
88	1.930215859
89	1.930121951
90	1.930040955
91	1.929952847
92	1.929850173
93	1.92976875
94	1.929658915
95	1.929540428
96	1.929457817
97	1.929389106
98	1.929294055
99	1.929203411
100	1.929114342
101	1.929042438
102	1.92895458
103	1.928870875
104	1.928763199
105	1.928665389
106	1.928566059
107	1.928466793
108	1.928387393
109	1.928307593
110	1.928233562
111	1.928147471
112	1.92807177
113	1.9279887
114	1.927909883
115	1.927819863
116	1.927727757
117	1.927646913
118	1.927557304
119	1.9274726
120	1.927386993
121	1.927290879
122	1.92719549
123	1.927117151
124	1.927024147
125	1.926932612
126	1.926842425
127	1.926758284
128	1.926666776
129	1.926576364
130	1.92648464
131	1.926374189
132	1.926291678
133	1.926207274
134	1.926118968
135	1.926031552
136	1.92593473
137	1.925828851
138	1.925733811
139	1.925642948
140	1.925547614
141	1.92546366
142	1.925389717
143	1.925296356
144	1.925200484
145	1.92509551
146	1.925014749
147	1.924913493
148	1.924824035
149	1.924723623
150	1.924624084
151	1.924539297
152	1.92446993
153	1.924387647
154	1.924297125
155	1.92422705
156	1.924153676
157	1.924073513
158	1.924003473
159	1.923926338
160	1.923833683
161	1.923744706
162	1.923666864
163	1.923592012
164	1.923519503
165	1.923428669
166	1.923337673
167	1.923254014
168	1.923172347
169	1.92310081
170	1.923026432
171	1.922933015
172	1.922840961
